site,year,population,falciparum,month,falciparum_inc_per_1000
Samera,2017,78452,73,17-Jan,0.93
Samera,2017,78452,59,17-Feb,0.75
Samera,2017,78452,35,17-Mar,0.45
Samera,2017,78452,53,17-Apr,0.68
Samera,2017,78452,59,17-May,0.75
Samera,2017,78452,73,17-Jun,0.93
Samera,2017,78452,39,17-Jul,0.5
Samera,2017,78452,34,17-Aug,0.43
Samera,2017,78452,30,17-Sep,0.38
Samera,2017,78452,59,17-Oct,0.75
Samera,2017,78452,106,17-Nov,1.35
Samera,2017,78452,123,17-Dec,1.57
Samera,2018,79401,118,18-Jan,1.49
Samera,2018,79401,147,18-Feb,1.85
Samera,2018,79401,305,18-Mar,3.84
Samera,2018,79401,237,18-Apr,2.98
Samera,2018,79401,219,18-May,2.76
Samera,2018,79401,96,18-Jun,1.21
Samera,2018,79401,46,18-Jul,0.58
Samera,2018,79401,78,18-Aug,0.98
Samera,2018,79401,80,18-Sep,1.01
Samera,2018,79401,133,18-Oct,1.68
Samera,2018,79401,94,18-Nov,1.18
Samera,2018,79401,110,18-Dec,1.39
Samera,2019,80164,220,19-Jan,2.74
Samera,2019,80164,238,19-Feb,2.97
Samera,2019,80164,227,19-Mar,2.83
Samera,2019,80164,61,19-Apr,0.76
Samera,2019,80164,158,19-May,1.97
Samera,2019,80164,25,19-Jun,0.31
Samera,2019,80164,,19-Jul,0
Samera,2019,80164,52,19-Aug,0.65
Samera,2019,80164,70,19-Sep,0.87
Samera,2019,80164,107,19-Oct,1.33
Samera,2019,80164,81,19-Nov,1.01
Samera,2019,80164,113,19-Dec,1.41
Samera,2020,80821,185,20-Jan,2.29
Samera,2020,80821,145,20-Feb,1.79
Samera,2020,80821,122,20-Mar,1.51
Samera,2020,80821,126,20-Apr,1.56
Samera,2020,80821,50,20-May,0.62
Samera,2020,80821,40,20-Jun,0.49
Samera,2020,80821,53,20-Jul,0.66
Samera,2020,80821,70,20-Aug,0.87
Samera,2020,80821,106,20-Sep,1.31
Samera,2020,80821,74,20-Oct,0.92
Samera,2020,80821,85,20-Nov,1.05
Samera,2020,80821,123,20-Dec,1.52
Samera,2021,81340,129,21-Jan,1.59
Samera,2021,81340,96,21-Feb,1.18
Samera,2021,81340,111,21-Mar,1.36
Samera,2021,81340,100,21-Apr,1.23
Samera,2021,81340,105,21-May,1.29
Samera,2021,81340,57,21-Jun,0.7
Samera,2021,81340,99,21-Jul,1.22
Samera,2021,81340,95,21-Aug,1.17
Samera,2021,81340,47,21-Sep,0.58
Samera,2021,81340,58,21-Oct,0.71
Samera,2021,81340,97,21-Nov,1.19
Samera,2021,81340,238,21-Dec,2.93
Samera,2022,81801,268,22-Jan,3.28
Samera,2022,81801,357,22-Feb,4.36
Samera,2022,81801,472,22-Mar,5.77
Samera,2022,81801,88,22-Apr,1.08
Samera,2022,81801,128,22-May,1.56
Samera,2022,81801,93,22-Jun,1.14
Samera,2022,81801,83,22-Jul,1.01
Samera,2022,81801,29,22-Aug,0.35
Samera,2022,81801,106,22-Sep,1.3
Samera,2022,81801,136,22-Oct,1.66
Samera,2022,81801,275,22-Nov,3.36
Samera,2022,81801,487,22-Dec,5.95
Samera,2023,82283,349,23-Jan,4.24
Samera,2023,82283,719,23-Feb,8.74
Samera,2023,82283,420,23-Mar,5.1
Samera,2023,82283,348,23-Apr,4.23
Samera,2023,82283,351,23-May,4.27
Samera,2023,82283,213,23-Jun,2.59
Samera,2023,1800000,2513,23-Jul,1.4
Samera,2023,1800000,1259,23-Aug,0.7
Samera,2023,1800000,1698,23-Sep,0.94
Samera,2023,1800000,1342,23-Oct,0.75
Samera,2023,1800000,1402,23-Nov,0.78
Samera,2023,1800000,2205,23-Dec,1.23
Samera,2024,1800000,7660,24-Jan,4.26
Samera,2024,1800000,9901,24-Feb,5.5
Samera,2024,1800000,7786,24-Mar,4.33
Samera,2024,1800000,9178,24-Apr,5.1
Samera,2024,1800000,10584,24-May,5.88
Samera,2024,1800000,9829,24-Jun,5.46
Samera,2024,1800000,5826,24-Jul,3.24
Samera,2024,1800000,7700,24-Aug,4.28
Samera,2024,1800000,9373,24-Sep,5.21
Samera,2024,1800000,9653,24-Oct,5.36
Samera,2024,1800000,13863,24-Nov,7.7
Samera,2024,1800000,10403,24-Dec,5.78
Samera,2025,1800000,12070,25-Jan,6.71
Samera,2025,1800000,9508,25-Feb,5.28
Samera,2025,1800000,8464,25-Mar,4.7
Samera,2025,1800000,9094,25-Apr,5.05
Samera,2025,1800000,5765,25-May,3.2
Samera,2025,1800000,5704,25-Jun,3.17
Samera,2025,1800000,6335,25-Jul,3.52
Samera,2025,1800000,,25-Aug,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
